,dataset,feature,feature_importance
46,InterPro,"2Fe-2S ferredoxin, iron-sulphur binding site",5.7246515438659865e-08
47,InterPro,2Fe-2S ferredoxin-type domain,1.9019467668506384e-07
48,InterPro,"2OGFeDO domain, nucleic acid-modifying type",-8.216520530521655e-07
49,InterPro,3'-5' exonuclease domain,1.2254835045305603e-05
50,InterPro,"3'-RNA ribose 2'-O-methyltransferase, Hen1",-3.8797198886545594e-05
51,InterPro,3'5'-cyclic nucleotide phosphodiesterase,8.385461920243133e-05
52,InterPro,3'5'-cyclic nucleotide phosphodiesterase N-terminal,9.924243790102924e-06
53,InterPro,3'5'-cyclic nucleotide phosphodiesterase PDE8,1.439773529908325e-05
54,InterPro,"3'5'-cyclic nucleotide phosphodiesterase, catalytic domain",8.87685387268522e-05
55,InterPro,"3'5'-cyclic nucleotide phosphodiesterase, conserved site",8.876853872685612e-05
56,InterPro,3-beta hydroxysteroid dehydrogenase/isomerase,-3.703347407981952e-06
57,InterPro,3-hydroxyacyl-CoA dehydrogenase,-2.524890949966549e-06
58,InterPro,"3-hydroxyacyl-CoA dehydrogenase, C-terminal",-3.5454946713016657e-06
59,InterPro,"3-hydroxyacyl-CoA dehydrogenase, NAD binding",-3.5454946713004786e-06
60,InterPro,"3-hydroxyacyl-CoA dehydrogenase, conserved site",-3.5454946713005968e-06
61,InterPro,"3-hydroxyanthranilate 3, 4-dioxygenase, metazoan",1.6877044526619074e-05
62,InterPro,3-hydroxyanthranilic acid dioxygenase,1.687704452661856e-05
63,InterPro,3-hydroxyisobutyrate dehydrogenase,-1.370207644821788e-06
64,InterPro,"3-hydroxyisobutyrate dehydrogenase-related, conserved site",-1.3702076448199972e-06
65,InterPro,3-oxo-5-alpha-steroid 4-dehydrogenase,-2.765984337332562e-12
66,InterPro,"3-oxo-5-alpha-steroid 4-dehydrogenase, C-terminal",-3.542570549429422e-12
67,InterPro,3-oxoacid CoA-transferase,5.357679322080119e-12
68,InterPro,"3-oxoacid CoA-transferase, subunit A",5.357678979540803e-12
69,InterPro,"3-oxoacid CoA-transferase, subunit B",5.357679178919544e-12
70,InterPro,3-oxoacyl-[acyl-carrier-protein] synthase 2,-2.2837880122942937e-06
71,InterPro,"30s ribosomal protein S13, C-terminal",0.0
72,InterPro,4'-phosphopantetheinyl transferase superfamily,4.542747569816912e-16
73,InterPro,"4-aminobutyrate aminotransferase, eukaryotic",9.497139175143566e-05
74,InterPro,"4-diphosphocytidyl-2C-methyl-D-erythritol synthase, conserved site",0.0
75,InterPro,4-hydroxybenzoate polyprenyl transferase,-2.1639498048666676e-12
76,InterPro,4-hydroxyphenylpyruvate dioxygenase,2.616746688069937e-11
77,InterPro,"40S ribosomal protein S1/3, eukaryotes",0.0
78,InterPro,40S ribosomal protein SA,0.0
79,InterPro,43kDa postsynaptic protein,3.7074790703562234e-05
80,InterPro,"43kDa postsynaptic, conserved site",3.7074790703562234e-05
81,InterPro,4Fe-4S binding domain,-9.328258750763762e-06
82,InterPro,"4Fe-4S ferredoxin, iron-sulphur binding, conserved site",-9.32107740575904e-06
83,InterPro,"4Fe-4S ferredoxin-type, iron-sulphur binding domain",-9.329353960542209e-06
84,InterPro,5'(3')-deoxyribonucleotidase,1.712107901987477e-05
85,InterPro,"5'-3' exonuclease, C-terminal domain",1.2476718631725972e-07
86,InterPro,5'-3' exoribonuclease,4.888271508171244e-07
87,InterPro,5'-3' exoribonuclease 1,1.1760054844955028e-08
88,InterPro,5'-3' exoribonuclease 2/3,4.770670959721692e-07
89,InterPro,5'-AMP-activated protein kinase catalytic subunit alpha-1,8.163596596877889e-06
90,InterPro,5'-AMP-activated protein kinase catalytic subunit alpha-2,8.163596595557527e-06
91,InterPro,5'-AMP-activated protein kinase subunit beta-1,-2.0074679533081217e-06
92,InterPro,5'-AMP-activated protein kinase subunit beta-2,-2.0074679541403392e-06
93,InterPro,"5'-Nucleotidase, C-terminal",1.4129029363041686e-06
94,InterPro,"5'-Nucleotidase, conserved site",1.4129029363041686e-06
95,InterPro,5'-Nucleotidase/apyrase,1.4129029363041686e-06
96,InterPro,5-Hydroxytryptamine 1A receptor,1.529739974589466e-05
97,InterPro,5-Hydroxytryptamine 1B receptor,1.529739974555554e-05
98,InterPro,5-Hydroxytryptamine 1D receptor,1.52973997432116e-05
99,InterPro,5-Hydroxytryptamine 1E receptor,1.5297399747285064e-05
100,InterPro,5-Hydroxytryptamine 1F receptor,1.5297399748971005e-05
101,InterPro,5-Hydroxytryptamine 2A receptor,1.5297399749574137e-05
102,InterPro,5-Hydroxytryptamine 2B receptor,0.0
103,InterPro,5-Hydroxytryptamine 2C receptor,1.5297399746571673e-05
104,InterPro,5-Hydroxytryptamine 4 receptor,1.5043016002334464e-05
105,InterPro,5-Hydroxytryptamine 5A receptor,1.5297399748919018e-05
106,InterPro,5-Hydroxytryptamine 7 receptor,1.5043016003449745e-05
107,InterPro,5-aminolevulinate synthase presequence,0.00022648806083348658
108,InterPro,5-formyltetrahydrofolate cyclo-ligase,6.94099724207509e-06
109,InterPro,5-formyltetrahydrofolate cyclo-ligase-like domain,6.94099724207509e-06
110,InterPro,5-hydroxytryptamine 3 receptor,4.065848084093877e-05
111,InterPro,"5-hydroxytryptamine 3 receptor, A subunit",2.2816046667438014e-05
112,InterPro,"5-hydroxytryptamine 3 receptor, B subunit",1.7842434173500737e-05
113,InterPro,5-hydroxytryptamine receptor family,0.0001223791979759826
114,InterPro,5-lipoxygenase-activating protein,-8.396786955186966e-09
115,InterPro,5-nucleotidase,-3.3827724363812287e-15
116,InterPro,50S ribosomal protein L18Ae/60S ribosomal protein L20 and L18a,0.0
117,InterPro,50S ribosomal protein L30e-like,9.484166420390752e-07
118,InterPro,6-phosphofructo-2-kinase,-8.64022368547676e-06
119,InterPro,"6-phosphofructokinase, eukaryotic type",2.669618553446992e-09
120,InterPro,"6-phosphogluconate dehydrogenase, C-terminal",-1.3786401933944226e-06
121,InterPro,"6-phosphogluconate dehydrogenase, C-terminal-like",-1.697731337691484e-05
122,InterPro,"6-phosphogluconate dehydrogenase, NADP-binding",-6.07055283947736e-06
123,InterPro,"6-phosphogluconate dehydrogenase, decarboxylating",-1.3786401933944226e-06
124,InterPro,6-phosphogluconate-binding site,-1.3786401933944226e-06
125,InterPro,"6-phosphogluconolactonase, DevB-type",-1.7281942295113692e-06
126,InterPro,"6-pyruvoyl tetrahydropterin synthase, cysteine active site",2.6544883019478156e-13
127,InterPro,"6-pyruvoyl tetrahydropterin synthase, histidine active site",2.6544883019478156e-13
128,InterPro,6-pyruvoyl tetrahydropterin synthase/QueD family protein,2.6544883019478156e-13
129,InterPro,"60S ribosomal protein L18a/ L20, eukaryotes",0.0
130,InterPro,60S ribosomal protein L22-like 1,0.0
131,InterPro,"60S ribosomal protein L4, C-terminal domain",-9.964957674766693e-12
132,InterPro,60S ribosomal protein L6E,0.0
133,InterPro,"7,8-dihydro-8-oxoguanine triphosphatase",-1.433135787049186e-06
134,InterPro,72kDa type IV collagenase,0.0
135,InterPro,"7TM GPCR, olfactory receptor/chemoreceptor Srsx",1.5768587892047908e-05
136,InterPro,"8-oxoguanine DNA glycosylase, N-terminal",-1.0083836535104511e-07
137,InterPro,8-oxoguanine DNA-glycosylase,-1.0083836535104511e-07
138,InterPro,A-kinase anchor 110kDa,0.0
139,InterPro,"A-kinase anchor 110kDa, C-terminal",0.0
140,InterPro,A-kinase anchor protein 12,2.436410976999707e-12
141,InterPro,A-kinase anchor protein 13,1.283484454138237e-06
142,InterPro,"A-kinase anchor protein 2, C-terminal domain",3.0411777116604913e-15
143,InterPro,A-kinase anchor protein 28kDa,-5.105170855160531e-16
144,InterPro,A-kinase anchor protein 6/Centrosomal protein of 68kDa,-1.587985995557318e-06
145,InterPro,A-kinase anchor protein 9,-6.025476374523003e-14
146,InterPro,A-kinase anchoring protein 95 (AKAP95),1.1213420354858744e-05
147,InterPro,"A1 cistron-splicing factor, AAR2",2.3954454227083835e-15
148,InterPro,"AAA ATPase, CDC48 family",-8.678588703933958e-06
149,InterPro,AAA domain,-6.350044922733242e-06
150,InterPro,AAA+ ATPase domain,-0.0009886743853608122
151,InterPro,AARP2CN,-3.122628857059204e-06
152,InterPro,AATF leucine zipper-containing domain,1.9798938363102025e-14
153,InterPro,"AB-hydrolase YheT, putative",-2.7438866744927347e-05
154,InterPro,"ABC transporter A, ABCA",-8.116120346454685e-05
155,InterPro,ABC transporter ABCE,-9.236552430146091e-06
156,InterPro,ABC transporter Tap-like,-1.9797445561713796e-05
157,InterPro,"ABC transporter type 1, transmembrane domain",-0.00021668913256689168
158,InterPro,"ABC transporter, G1",-9.275986576172157e-06
159,InterPro,"ABC transporter, conserved site",-0.0003335434995095938
160,InterPro,ABC transporter-like,-0.00037463505890058955
161,InterPro,ABC-2 type transporter,-4.029816997866069e-05
162,InterPro,ABC-type uncharacterised transport system,3.184210293351927e-15
163,InterPro,ABI family,1.9869134996926617e-05
164,InterPro,ABI gene family member 3,6.8108632761815984e-06
165,InterPro,ACN9,2.1329768665306635e-15
166,InterPro,ACT domain,6.341421578726175e-08
167,InterPro,"ADAM, cysteine-rich",0.0009785089964476712
168,InterPro,ADAM-TS Spacer 1,0.0006461194030928442
169,InterPro,ADD domain,-8.212250082366733e-05
170,InterPro,ADF-H/Gelsolin-like domain,1.129487609137638e-05
171,InterPro,ADF/Cofilin/Destrin,-1.234282726286541e-06
172,InterPro,ADP-ribosyl cyclase (CD38/157),-3.703347548513718e-06
173,InterPro,ADP-ribosylarginine hydrolase,-9.709783351240907e-12
174,InterPro,ADP-ribosylation factor-binding protein GGA3,-1.3773493130776636e-06
175,InterPro,"ADP-ribosylation factor-like 2-binding protein, domain",2.4177387738577546e-14
176,InterPro,ADP-ribosylation factor-like protein 6-interacting protein 6,1.9434507707538447e-16
177,InterPro,ADP-ribosylation/Crystallin J1,-1.2436057909843223e-11
178,InterPro,ADP-specific phosphofructokinase/glucokinase,1.4871440968205788e-10
179,InterPro,"AGC-kinase, C-terminal",0.0009331161801645723
180,InterPro,AICAR transformylase domain,-1.3632305971823706e-07
181,InterPro,"AICAR transformylase, insert domain",-1.3632305971823706e-07
182,InterPro,AICARFT/IMPCHase bienzyme,-1.3632305971823706e-07
183,InterPro,AIG1-type guanine nucleotide-binding (G) domain,-1.8735669210634146e-05
184,InterPro,AIG2-like,1.6949363770421855e-11
185,InterPro,"AIR synthase related protein, N-terminal domain",-5.3826050531295185e-06
186,InterPro,"AIR synthase-related protein, C-terminal domain",-5.3826050531295185e-06
187,InterPro,"AJAP1/PANP, C-terminal",-1.2019066465938056e-13
188,InterPro,AKT1 substrate 1 protein,2.137623182161525e-16
189,InterPro,ALB/AFP/VDB,-1.2946925477462033e-11
190,InterPro,ALIX V-shaped domain,-3.5518791750296696e-06
191,InterPro,ALK tyrosine kinase receptor,2.4693903578928343e-05
192,InterPro,ALMS motif,-1.6443479591856212e-13
193,InterPro,AMMECR1,2.4166645380485415e-11
194,InterPro,AMMECR1 domain,2.4166645380485415e-11
195,InterPro,"AMMECR1, N-terminal",2.4166645380485415e-11
196,InterPro,AMOP,1.4301580692992847e-05
197,InterPro,AMP deaminase,-8.753880268164693e-10
198,InterPro,AMP deaminase 1,0.0
199,InterPro,AMP deaminase 2,-4.3769508080922185e-10
200,InterPro,AMP deaminase 3,-4.376929460072475e-10
201,InterPro,AMP-binding enzyme C-terminal domain,2.2905250471124566e-05
202,InterPro,"AMP-binding, conserved site",3.213810884495183e-05
203,InterPro,AMP-dependent synthetase/ligase,3.2702156594982315e-05
204,InterPro,AP complex subunit beta,0.00010046481372972385
205,InterPro,"AP complex, mu/sigma subunit",-2.9100208293278968e-06
206,InterPro,AP endonuclease 1,9.053715105212241e-07
207,InterPro,"AP endonuclease 1, binding site",9.053715105212241e-07
208,InterPro,"AP endonuclease 1, conserved site",4.348331150529316e-07
209,InterPro,AP-1 transcription factor,1.5424523331829017e-05
210,InterPro,"AP-1, 2,4 complex subunit beta",5.990936167500707e-05
211,InterPro,AP-2 complex subunit sigma,-1.6990461281786013e-07
212,InterPro,AP-3 complex subunit beta,4.055545205471674e-05
213,InterPro,"AP-3 complex subunit beta 1, serine-rich domain",2.04423489722547e-05
214,InterPro,"AP-3 complex subunit beta, C-terminal domain",4.055545205471674e-05
215,InterPro,"AP-4 complex subunit epsilon-1, C-terminal",2.049090562601192e-05
216,InterPro,AP-5 complex subunit sigma-1,2.5628383003681187e-15
217,InterPro,AP-5 complex subunit zeta-1,5.244397994328451e-16
218,InterPro,AP180 N-terminal homology (ANTH) domain,-1.2435621046004248e-06
219,InterPro,APCDD1 domain,-1.311609655212736e-13
220,InterPro,APJ receptor,1.5074380783719475e-05
221,InterPro,"APOBEC-like, C-terminal",-1.8262689197152252e-09
222,InterPro,"APOBEC-like, N-terminal",-5.454697228875906e-09
223,InterPro,"APOBEC/CMP deaminase, zinc-binding",-1.2872189035692276e-08
224,InterPro,ARF14 effector protein,0.0
225,InterPro,"ARF7 effector protein, C-terminal",0.0
226,InterPro,ARID DNA-binding domain,-8.376875685500807e-06
227,InterPro,ASCH domain,-2.6040983144018106e-07
228,InterPro,ASPIC/UnbV,-9.351700005715083e-06
229,InterPro,ASX homology domain,-4.1418863432835665e-10
230,InterPro,ASX-like protein 1,-2.070943028534207e-10
231,InterPro,ASX-like protein 2,-2.0709433147493583e-10
232,InterPro,ASX-like protein 3,0.0
233,InterPro,"AT hook, DNA-binding motif",-2.2807275508571916e-06
234,InterPro,AT hook-like,-5.992589623399077e-06
235,InterPro,AT-rich interactive domain-containing protein 4B,4.146068146993241e-06
236,InterPro,AT-rich interactive domain-containing protein 5B,0.0
237,InterPro,ATM,0.0
238,InterPro,ATP synthase subunit alpha-like domain,-3.394653795782263e-06
239,InterPro,"ATP synthase subunit s, mitochondrial",-2.6735573690184784e-16
240,InterPro,ATP synthase subunit s-like protein,2.067143106241047e-15
241,InterPro,"ATP-NAD kinase, PpnK-type, all-beta",-1.526277076047458e-06
242,InterPro,ATP-NAD kinase-like domain,7.237987810985029e-05
243,InterPro,ATP-binding cassette sub-family A member 3,-9.38661155144248e-06
244,InterPro,ATP-binding cassette subfamily A member 1,-9.386611554583773e-06
245,InterPro,ATP-binding cassette subfamily A member 12,0.0
246,InterPro,ATP-binding cassette subfamily A member 2,-9.386611553925493e-06
247,InterPro,ATP-binding cassette subfamily A member 5,-9.386611554025265e-06
248,InterPro,ATP-binding cassette subfamily A member 6,-8.280511380918609e-06
249,InterPro,ATP-binding cassette subfamily A member 7,-9.386611552949614e-06
250,InterPro,ATP-binding cassette subfamily A member 8,-8.280511380516161e-06
251,InterPro,ATP-binding cassette subfamily A member 9,-8.2805113814006e-06
252,InterPro,ATP-binding cassette subfamily B member 10,-9.833048137125471e-06
253,InterPro,ATP-binding cassette subfamily B member 6,-9.833048133081946e-06
254,InterPro,ATP-binding cassette subfamily B member 9,-9.83304813377764e-06
255,InterPro,ATP-binding cassette subfamily C member 11,-9.833048136310522e-06
256,InterPro,ATP-binding cassette subfamily C member 8,-9.898722772681822e-06
257,InterPro,ATP-binding cassette subfamily C member 9,-9.898722771015936e-06
258,InterPro,ATP-binding cassette subfamily G member 2,-8.138783411632313e-06
259,InterPro,ATP-citrate lyase/succinyl-CoA ligase,-9.025811813325777e-06
260,InterPro,"ATP-citrate lyase/succinyl-CoA ligase, active site",-4.712266122197114e-06
261,InterPro,ATP-citrate synthase,-2.805946741245013e-06
262,InterPro,ATP-cone,1.6193943707446302e-11
263,InterPro,ATP-dependent (S)-NAD(P)H-hydrate dehydratase,1.487122335745152e-10
264,InterPro,ATP-dependent Clp protease proteolytic subunit,2.0297333144820164e-08
265,InterPro,"ATP-dependent RNA helicase DEAD-box, conserved site",-0.00029167776648025194
266,InterPro,"ATP-dependent helicase, C-terminal",-6.360506750221708e-06
267,InterPro,ATP-grasp fold,-5.319053380189537e-05
268,InterPro,"ATP-grasp fold, RimK-type",-6.383038746294005e-06
269,InterPro,"ATP-grasp fold, subdomain 1",-6.140082928515884e-05
270,InterPro,"ATP-grasp fold, subdomain 2",-6.655320641129288e-05
271,InterPro,"ATP-grasp fold, succinyl-CoA synthetase-type",-7.119492432373659e-06
272,InterPro,ATP-sulfurylase PUA-like domain,-7.808333510779932e-06
273,InterPro,ATP11,0.0
274,InterPro,"ATP12, ATPase F1F0-assembly protein",-4.557688747821812e-14
275,InterPro,"ATP:cob(I)alamin adenosyltransferase, PduO-type",-3.5444702239003994e-15
276,InterPro,ATP:guanido phosphotransferase,-3.959909561304033e-09
277,InterPro,ATP:guanido phosphotransferase active site,-3.959909561304033e-09
278,InterPro,"ATP:guanido phosphotransferase, N-terminal",-3.959909561304033e-09
279,InterPro,"ATP:guanido phosphotransferase, catalytic domain",-3.959909561304033e-09
280,InterPro,"ATPase family AAA domain-containing protein 3, domain of unknown function DUF3523",-1.5586764856456544e-05
281,InterPro,"ATPase inhibitor, IATP, mitochondria",7.417191990387344e-16
282,InterPro,"ATPase, AAA-4",-6.319582182776134e-06
283,InterPro,"ATPase, AAA-type, conserved site",-0.00020569620728485912
284,InterPro,"ATPase, AAA-type, core",-0.00034421771053931913
285,InterPro,"ATPase, AFG1-like",-3.089377903094508e-06
286,InterPro,"ATPase, BadF/BadG/BcrA/BcrD type",7.043191804013504e-16
287,InterPro,"ATPase, F0 complex, B chain/subunit B",-1.1610453032734606e-13
288,InterPro,"ATPase, F0 complex, B chain/subunit B/MI25",-1.1610453032734606e-13
289,InterPro,"ATPase, F0 complex, subunit 8, mitochondrial, Metazoan",0.0
290,InterPro,"ATPase, F0 complex, subunit A",0.0
291,InterPro,"ATPase, F0 complex, subunit A, active site",0.0
292,InterPro,"ATPase, F0 complex, subunit C",-4.522038412008328e-10
293,InterPro,"ATPase, F0 complex, subunit C, DCCD-binding site",-4.522038412008328e-10
294,InterPro,"ATPase, F0 complex, subunit D, mitochondrial",0.0
295,InterPro,"ATPase, F0 complex, subunit E, mitochondrial",-1.6737664084848674e-15
296,InterPro,"ATPase, F0 complex, subunit F6, mitochondrial",1.6114862558095812e-14
297,InterPro,"ATPase, F0 complex, subunit F6, mitochondrial subgroup",1.6114862558095812e-14
298,InterPro,"ATPase, F0 complex, subunit G, mitochondrial",-3.016700525248999e-14
299,InterPro,"ATPase, F1 complex alpha/beta subunit, N-terminal domain",-2.0761677001896048e-05
300,InterPro,"ATPase, F1 complex beta subunit/V1 complex, C-terminal",-1.0531048367656417e-05
301,InterPro,"ATPase, F1 complex, alpha subunit",-3.394653795782263e-06
302,InterPro,"ATPase, F1 complex, beta subunit",-7.096188674032792e-06
303,InterPro,"ATPase, F1 complex, delta/epsilon subunit",-8.59196538174609e-13
304,InterPro,"ATPase, F1 complex, delta/epsilon subunit, C-terminal domain",-8.59196538174609e-13
305,InterPro,"ATPase, F1 complex, delta/epsilon subunit, N-terminal",-8.59196538174609e-13
306,InterPro,"ATPase, F1 complex, epsilon  subunit, mitochondrial",0.0
307,InterPro,"ATPase, F1 complex, gamma subunit",-6.475624761579154e-13
308,InterPro,"ATPase, F1 complex, gamma subunit conserved site",-6.475624761579154e-13
309,InterPro,"ATPase, F1 complex, gamma subunit domain",-6.475624761579154e-13
310,InterPro,"ATPase, F1/V1/A1 complex, alpha/beta subunit, C-terminal",-2.0761677001896048e-05
311,InterPro,"ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain",-2.0761677001896048e-05
312,InterPro,"ATPase, OSCP/delta subunit",-6.679533829963665e-13
313,InterPro,"ATPase, OSCP/delta subunit, conserved site",-6.679533829963665e-13
314,InterPro,"ATPase, V0 complex,  c/d subunit",2.966873822019901e-14
315,InterPro,"ATPase, V0 complex, subunit 116kDa, eukaryotic",-1.3861540232590611e-10
316,InterPro,"ATPase, V0 complex, subunit d",2.966873822019901e-14
317,InterPro,"ATPase, V0 complex, subunit e1/e2",-5.181634050469952e-12
318,InterPro,"ATPase, V0 complex, subunit e1/e2, metazoa",-5.181634050469952e-12
319,InterPro,"ATPase, V1 complex, subunit A",-3.434859693623623e-06
320,InterPro,"ATPase, V1 complex, subunit B",-6.835974838457358e-06
321,InterPro,"ATPase, V1 complex, subunit C",6.84341623301122e-16
322,InterPro,"ATPase, V1 complex, subunit D",-2.87442419687944e-15
323,InterPro,"ATPase, V1 complex, subunit F",-4.3730558522879696e-14
324,InterPro,"ATPase, V1 complex, subunit F, eukaryotic",-4.3730558522879696e-14
325,InterPro,"ATPase, V1 complex, subunit H",2.0552599485280887e-05
326,InterPro,"ATPase, V1 complex, subunit H, C-terminal",2.0552599485280887e-05
327,InterPro,"ATPase, V1 complex, subunit S1",-6.62831114103825e-14
328,InterPro,"ATPase, V1/A1 complex, subunit E",1.4515114807559273e-13
329,InterPro,"ATPase, alpha/beta subunit, nucleotide-binding domain, active site",-2.0761677001896048e-05
330,InterPro,"ATPase, dynein-related, AAA domain",-0.00015739246626923903
331,InterPro,"ATPase, vacuolar ER assembly factor, Vma12",-1.121356381636422e-15
332,InterPro,AVL9/DENND6 domain,5.530162770969881e-13
333,InterPro,AWS domain,-9.390148607621061e-06
334,InterPro,Abhydrolase domain-containing protein 16A,-6.951881997767746e-06
335,InterPro,Abl interactor 1,6.529135860940677e-06
336,InterPro,Abl interactor 2,6.529135859804343e-06
337,InterPro,"Abl-interactor, homeo-domain homologous domain",1.9869134996926617e-05
338,InterPro,Abnormal spindle-like microcephaly-associated protein,1.833725620664751e-05
339,InterPro,Abscisic acid G-protein coupled receptor-like domain,0.0
340,InterPro,Acetate-CoA ligase,3.2666843661790024e-06
341,InterPro,Acetoacetyl-CoA synthase,1.18863418995411e-06
342,InterPro,"Acetyl-CoA carboxylase, central domain",-1.3959444443623265e-05
343,InterPro,"Acetyl-coenzyme A carboxyltransferase, C-terminal",-1.5045732706269873e-05
344,InterPro,"Acetyl-coenzyme A carboxyltransferase, N-terminal",-1.5045732706269873e-05
345,InterPro,Acetyl-coenzyme A transporter 1,2.3685281267156726e-05
346,InterPro,"Acetylcholinesterase, tetramerisation domain",-1.7202473320372492e-05
347,InterPro,Achaete-scute transcription factor-related,2.101113988478112e-05
348,InterPro,"Acid ceramidase, N-terminal",2.6121996413561644e-11
349,InterPro,Acid ceramidase-like,2.6121996413561644e-11
350,InterPro,"Acid phosphatase, type 5",1.3649298158917712e-06
351,InterPro,"Acid sphingomyelinase-like phosphodiesterase, predicted",2.7769306093810115e-06
352,InterPro,Acidic fibroblast growth factor binding,8.593276128181376e-16
353,InterPro,Acireductone dioxygenase ARD family,1.6877044541296207e-05
354,InterPro,"Aconitase A/isopropylmalate dehydratase small subunit, swivel",1.7781850090252898e-07
355,InterPro,"Aconitase family, 4Fe-4S cluster binding site",1.7781850090252898e-07
356,InterPro,"Aconitase, mitochondrial-like",5.563216489699518e-08
357,InterPro,"Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha",1.7781850090252898e-07
358,InterPro,"Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha, subdomain 1/3",1.7781850090252898e-07
359,InterPro,"Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha, subdomain 2",1.7781850090252898e-07
360,InterPro,"Aconitase/3-isopropylmalate dehydratase, swivel",1.7781850090252898e-07
361,InterPro,Aconitase/isopropylmalate dehydratase,1.7781850090252898e-07
362,InterPro,Aconitate/iron regulatory protein 2,1.2218633600553373e-07
363,InterPro,Acrosomal protein SP-10,5.889852384327196e-16
364,InterPro,Actin cross-linking,-3.4919914265216046e-09
365,InterPro,Actin family,5.455129424661697e-06
